iter	Logloss
0	0.6877772718
1	0.68271945
2	0.6781511915
3	0.6736814525
4	0.6695584704
5	0.6656658682
6	0.6619868382
7	0.6585624648
8	0.655360432
9	0.6523886635
10	0.6495963555
11	0.646977562
12	0.6445248677
13	0.6421914964
14	0.6400528544
15	0.6380021882
16	0.6360560576
17	0.6342309128
18	0.6325803831
19	0.6309424355
20	0.6294285021
21	0.6279967335
22	0.6266868486
23	0.6254205422
24	0.6242641373
25	0.6231444471
26	0.6220635558
27	0.6210377359
28	0.6200995944
29	0.6192089314
30	0.6183637585
31	0.6175767686
32	0.6168649809
33	0.616137163
34	0.6154560856
35	0.6148181184
36	0.6141851485
37	0.6135934261
38	0.6130308572
39	0.6125162844
40	0.6119994997
41	0.611552214
42	0.6111113355
43	0.6106872847
44	0.6102976373
45	0.6099195946
46	0.6095543142
47	0.6092275527
48	0.6089027379
49	0.6086272788
50	0.6083506208
51	0.6080741714
52	0.6077833473
53	0.6075068444
54	0.6072334069
55	0.6069633138
56	0.6067187455
57	0.6065146552
58	0.6062736035
59	0.6060828831
60	0.6058737545
61	0.6056910627
62	0.605476403
63	0.605259651
64	0.605046254
65	0.604865938
66	0.6047068607
67	0.604540311
68	0.6044019645
69	0.6042495789
70	0.6041016248
71	0.603962576
72	0.6038322025
73	0.6036887903
74	0.6035563621
75	0.6034255757
76	0.6033026565
77	0.6031813715
78	0.6030633029
79	0.6029173087
80	0.6028012675
81	0.6026923179
82	0.6025813704
83	0.6024258261
84	0.6023056873
85	0.6022163695
86	0.6021208259
87	0.6020186992
88	0.6019191596
89	0.6017723733
90	0.6016636277
91	0.6015619434
92	0.6014632134
93	0.6013923516
94	0.6012630965
95	0.6011826038
96	0.6011101895
97	0.6010221265
98	0.6009094309
99	0.6008410096
100	0.6007412641
101	0.6006673894
102	0.600597673
103	0.6005321042
104	0.6004265102
105	0.6003585133
106	0.6002756505
107	0.6001976554
108	0.6001393762
109	0.6000812172
110	0.6000195085
111	0.5999716206
112	0.5999260251
113	0.5998553065
114	0.5998058958
115	0.5997619033
116	0.5997028174
117	0.5996053125
118	0.5995547782
119	0.5995002781
120	0.5994433533
121	0.5994065697
122	0.5993486105
123	0.5993001975
124	0.5992530567
125	0.5992109249
126	0.5991602986
127	0.5991195318
128	0.5990678943
129	0.5990252304
130	0.5989657331
131	0.5989048547
132	0.5988647622
133	0.598830587
134	0.5987912748
135	0.5987334369
136	0.5986293494
137	0.5985942022
138	0.5985597671
139	0.5985237262
140	0.5984888817
141	0.5984458838
142	0.598391619
143	0.5983606207
144	0.5983206746
145	0.5982846259
146	0.5981866296
147	0.5981572296
148	0.5981280647
149	0.598085133
150	0.5980573308
151	0.5980307412
152	0.59797618
153	0.5979454778
154	0.5979173149
155	0.5978927528
156	0.5978677615
157	0.5978393388
158	0.5978035306
159	0.5977814256
160	0.5977597061
161	0.5976457523
162	0.5976111981
163	0.5975904329
164	0.5975486283
165	0.597527126
166	0.5975027759
167	0.5974497298
168	0.597403922
169	0.5973852736
170	0.5973619326
171	0.5973409381
172	0.5973087692
173	0.5972823768
174	0.5972358364
175	0.5971969315
176	0.5971277567
177	0.5970878512
178	0.5970671519
179	0.5970476598
180	0.5970295289
181	0.5970106118
182	0.5969968783
183	0.5969485335
184	0.5969084273
185	0.5968663594
186	0.5968409594
187	0.5968229092
188	0.5967786884
189	0.5967617155
190	0.5967102607
191	0.5966765222
192	0.5966467608
193	0.5966233684
194	0.5966081265
195	0.5965875843
196	0.5965089994
197	0.5964938666
198	0.5964803013
199	0.5963879106
200	0.5963653602
201	0.5963536541
202	0.5963356692
203	0.5963206215
204	0.596297469
205	0.5962589629
206	0.5962345985
207	0.5961816232
208	0.5961615166
209	0.5961381847
210	0.5961066603
211	0.5960963371
212	0.596084741
213	0.5960610757
214	0.5959693984
215	0.5959566177
216	0.5959125404
217	0.5958957866
218	0.5958820734
219	0.595863767
220	0.5958178664
221	0.5957961208
222	0.5957820561
223	0.5957586868
224	0.5957269716
225	0.5957140929
226	0.5956887805
227	0.5956766026
228	0.5956080195
229	0.5955962291
230	0.5955301713
231	0.5955182289
232	0.5955007863
233	0.5954890993
234	0.5954482421
235	0.5954315909
236	0.5954191454
237	0.5953855043
238	0.5953623817
239	0.5953321225
240	0.5953211699
241	0.5953066536
242	0.5952740453
243	0.5952633536
244	0.5952540877
245	0.5952216629
246	0.5952120038
247	0.5951330529
248	0.5951236371
249	0.5951151865
250	0.5950978852
251	0.5950865049
252	0.5950780808
253	0.5950677959
254	0.595005711
255	0.594994424
256	0.5949841518
257	0.5949644087
258	0.5949206287
259	0.5949022178
260	0.5948910916
261	0.5948036528
262	0.5947925277
263	0.5947127002
264	0.5947008695
265	0.5946932545
266	0.5946541007
267	0.5946215187
268	0.5945908738
269	0.5945547983
270	0.5945290119
271	0.5945183088
272	0.5945100334
273	0.5944911026
274	0.5944650507
275	0.5944459351
276	0.5944372102
277	0.5944021154
278	0.5943891213
279	0.5943568324
280	0.5943477459
281	0.594269156
282	0.5942417505
283	0.5942323714
284	0.5942260732
285	0.5941988523
286	0.5941804748
287	0.5941515849
288	0.5941271821
289	0.5940716277
290	0.5940383627
291	0.5939906488
292	0.5939839971
293	0.5939610087
294	0.593943917
295	0.5939358146
296	0.593904374
297	0.5938784378
298	0.5938719852
299	0.5938546413
300	0.593847066
301	0.593834405
302	0.5938173868
303	0.5938105138
304	0.5938025741
305	0.5937779303
306	0.5937554166
307	0.5937465175
308	0.5937396116
309	0.5937178907
310	0.5937025338
311	0.5936740774
312	0.5936659401
313	0.593658438
314	0.5936506804
315	0.5936420209
316	0.5936354852
317	0.5935769521
318	0.5935579453
319	0.5935286154
320	0.5935125409
321	0.593486226
322	0.593480931
323	0.5934381987
324	0.5934229893
325	0.5934011775
326	0.5933345934
327	0.5933282119
328	0.5933203808
329	0.5933102523
330	0.5933037408
331	0.5932966782
332	0.5932825092
333	0.5932496451
334	0.5932340351
335	0.5932077601
336	0.5931668392
337	0.5931615974
338	0.5931418984
339	0.5931241149
340	0.5930964086
341	0.5930900008
342	0.5930835685
343	0.5930759587
344	0.5930539876
345	0.5930237392
346	0.593017802
347	0.5930105582
348	0.5930040796
349	0.5929483452
350	0.5929250533
351	0.5928686934
352	0.5928467477
353	0.5928376166
354	0.5928309652
355	0.5928251671
356	0.5928185537
357	0.5928004353
358	0.5927857867
359	0.5927622945
360	0.5927467603
361	0.5927386416
362	0.5927279911
363	0.592706736
364	0.5927014108
365	0.5926756176
366	0.5926594185
367	0.5926094524
368	0.592589589
369	0.5925717128
370	0.5925658137
371	0.592559875
372	0.5925508899
373	0.5925441896
374	0.5925023142
375	0.592496446
376	0.592493598
377	0.5924834012
378	0.5924773782
379	0.5924712248
380	0.5924512806
381	0.5924467629
382	0.5924243916
383	0.5924018997
384	0.5923510042
385	0.5923412936
386	0.5923152187
387	0.5922806436
388	0.5922742478
389	0.5922586501
390	0.5922519859
391	0.5922358329
392	0.5922318223
393	0.5922266831
394	0.5922215825
395	0.5921538159
396	0.5921494333
397	0.592138271
398	0.5921070734
399	0.5920878621
400	0.5920790253
401	0.5920612991
402	0.5920050097
403	0.5919996525
404	0.5919919045
405	0.5919504199
406	0.5919316338
407	0.5919195264
408	0.5918998053
409	0.5918907004
410	0.5918860982
411	0.591881404
412	0.5918500852
413	0.5918026518
414	0.591778666
415	0.5917680443
416	0.5917491798
417	0.5917413744
418	0.5917146094
419	0.5916783834
420	0.5916722665
421	0.5916675681
422	0.5916615946
423	0.5916545529
424	0.5916477642
425	0.5916359303
426	0.5916193011
427	0.5915845187
428	0.5915678715
429	0.5915612811
430	0.5915392144
431	0.5915274084
432	0.5915210307
433	0.5914741051
434	0.5914524965
435	0.5914363043
436	0.5913973694
437	0.5913802516
438	0.5913573546
439	0.5913500586
440	0.5912976786
441	0.5912717472
442	0.5912649337
443	0.5912552783
444	0.5912266842
445	0.5912217722
446	0.5911930907
447	0.5911868132
448	0.5911704193
449	0.5911214861
450	0.5910773505
451	0.5910463202
452	0.5909756161
453	0.5909679113
454	0.5909564621
455	0.5909258986
456	0.5908972443
457	0.5908900441
458	0.5908728808
459	0.5908554782
460	0.5908410284
461	0.5908179531
462	0.5907902744
463	0.5907718557
464	0.5907500169
465	0.5907184237
466	0.590706561
467	0.5906922704
468	0.5906848645
469	0.5906705503
470	0.5906548535
471	0.5906410461
472	0.5906079895
473	0.5905538115
474	0.5905312877
475	0.5905002722
476	0.5904568344
477	0.5904099904
478	0.590398734
479	0.5903499386
480	0.5902992306
481	0.5902411842
482	0.5902349727
483	0.5902255174
484	0.5901987439
485	0.5901853502
486	0.5901435778
487	0.5901183867
488	0.5900932959
489	0.590085829
490	0.5900776271
491	0.5900652593
492	0.5900488326
493	0.5900419189
494	0.5900262063
495	0.5899873125
496	0.5899739458
497	0.5899583198
498	0.5899267631
499	0.5899018876
500	0.5898781811
501	0.5898305629
502	0.5897918765
503	0.589774632
504	0.589756875
505	0.5897513507
506	0.5897369778
507	0.5897202742
508	0.5896948882
509	0.589673597
510	0.5896626198
511	0.5896428389
512	0.589586528
513	0.5895636379
514	0.5895343768
515	0.5895211157
516	0.5894692375
517	0.5894501006
518	0.5894346563
519	0.5894209288
520	0.5893916615
521	0.5893742984
522	0.5893252607
523	0.5893039559
524	0.5892819396
525	0.5892674088
526	0.5892424463
527	0.5892262412
528	0.5892179403
529	0.5892034007
530	0.5891827389
531	0.5891703331
532	0.5891626474
533	0.5891280012
534	0.5890983515
535	0.5890875863
536	0.5890812815
537	0.5890450237
538	0.5890298467
539	0.5890137286
540	0.5889973652
541	0.5889897966
542	0.588982909
543	0.5889635061
544	0.5889426203
545	0.5889040683
546	0.5888615429
547	0.588849144
548	0.5888185314
549	0.5888085217
550	0.588796359
551	0.5887899911
552	0.5887715704
553	0.5887602493
554	0.588745473
555	0.588713176
556	0.5886980167
557	0.5886845797
558	0.5886655999
559	0.5886582798
560	0.588621938
561	0.5886034373
562	0.5885730812
563	0.5885604669
564	0.5885489362
565	0.5885107791
566	0.5885002358
567	0.5884888226
568	0.5884740306
569	0.5884638242
570	0.5884465354
571	0.5884283954
572	0.5884181086
573	0.5883997887
574	0.5883872339
575	0.5883786684
576	0.5883557076
577	0.588336875
578	0.5883252175
579	0.5883144509
580	0.5882864565
581	0.5882801562
582	0.5882491538
583	0.58824015
584	0.588231419
585	0.588220594
586	0.5882034807
587	0.588191233
588	0.5881679359
589	0.5881557475
590	0.5881429385
591	0.5881206748
592	0.5881092895
593	0.5881028135
594	0.5880869965
595	0.5880785423
596	0.5880672921
597	0.5880574212
598	0.5880290773
599	0.5880126342
600	0.5880002946
601	0.5879891513
602	0.5879754095
603	0.5879535462
604	0.5879466034
605	0.587936657
606	0.5879267366
607	0.5879092351
608	0.5879025868
609	0.5878973683
610	0.5878896129
611	0.5878767936
612	0.5878702873
613	0.5878351273
614	0.5878220178
615	0.5878051128
616	0.5877905347
617	0.5877842358
618	0.5877773377
619	0.5877678196
620	0.5877604291
621	0.5877538381
622	0.5877473168
623	0.587715199
624	0.5877050149
625	0.5876941153
626	0.5876747735
627	0.5876514833
628	0.5876408269
629	0.5876272529
630	0.5876166341
631	0.5876049705
632	0.5875983544
633	0.5875834789
634	0.5875761399
635	0.5875663399
636	0.5875408036
637	0.5875257242
638	0.5875201612
639	0.5875044698
640	0.5874955359
641	0.5874686507
642	0.5874593333
643	0.5874528279
644	0.5874411495
645	0.5874346759
646	0.5874250556
647	0.5874134343
648	0.5874080074
649	0.5874002663
650	0.5873866433
651	0.5873655228
652	0.587356547
653	0.5873448981
654	0.587340238
655	0.5873339416
656	0.5873185597
657	0.5873117987
658	0.5873040504
659	0.5872955191
660	0.5872662736
661	0.5872528684
662	0.5872500716
663	0.5872392893
664	0.5872301521
665	0.5872096091
666	0.5872036273
667	0.5871975459
668	0.5871909591
669	0.5871787283
670	0.587168156
671	0.5871577428
672	0.587149959
673	0.5871420564
674	0.587131484
675	0.5871201637
676	0.5871127828
677	0.5871060226
678	0.5870757527
679	0.5870554943
680	0.5870495538
681	0.5870354276
682	0.5870242553
683	0.5870156337
684	0.5870010777
685	0.5869866357
686	0.5869808529
687	0.5869726081
688	0.5869540775
689	0.5869482215
690	0.5869413686
691	0.5869337485
692	0.5869045557
693	0.5868976574
694	0.5868881689
695	0.5868809539
696	0.5868722842
697	0.5868415194
698	0.5868342052
699	0.5868051939
700	0.5867970169
701	0.5867908705
702	0.586762418
703	0.5867519164
704	0.5867273936
705	0.5867224979
706	0.5867158369
707	0.5867071498
708	0.5866867835
709	0.5866792614
710	0.5866733534
711	0.5866634496
712	0.5866576325
713	0.5866545083
714	0.5866444585
715	0.5866376226
716	0.5866316478
717	0.5866259578
718	0.5866066727
719	0.5866007025
720	0.5865917189
721	0.5865853044
722	0.5865772736
723	0.5865641432
724	0.5865418766
725	0.5865355655
726	0.5865194042
727	0.5865113417
728	0.5865010219
729	0.5864949292
730	0.5864878678
731	0.5864775827
732	0.5864619166
733	0.5864571116
734	0.5864300591
735	0.5864228903
736	0.5864138194
737	0.5864080745
738	0.5864000149
739	0.586372766
740	0.5863671166
741	0.5863569976
742	0.5863435368
