iter	Passed	Remaining
0	782	1564749
1	1302	1300758
2	1840	1224848
3	2423	1209305
4	3203	1278113
5	3743	1243977
6	4615	1314224
7	5474	1363100
8	6123	1354734
9	6804	1354024
10	7677	1388276
11	8293	1374006
12	8928	1364733
13	9679	1373140
14	10331	1367156
15	11115	1378291
16	11750	1370607
17	12332	1357947
18	12944	1349648
19	13501	1336695
20	14117	1330411
21	14678	1319691
22	15257	1311522
23	15921	1310853
24	16791	1326499
25	17372	1318954
26	17922	1309684
27	18505	1303321
28	19032	1293564
29	19579	1285732
30	20160	1280540
31	20719	1274249
32	21328	1271280
33	22072	1276318
34	22757	1277645
35	23413	1277348
36	24082	1277663
37	24777	1279295
38	25436	1278975
39	26121	1279943
40	26831	1282041
41	27766	1294428
42	28526	1298287
43	29429	1308272
44	30195	1311817
45	30893	1312319
46	31750	1319325
47	32565	1324333
48	33229	1323092
49	33823	1319132
50	34535	1319811
51	35242	1320243
52	35926	1319785
53	36655	1320960
54	37298	1319004
55	38128	1323601
56	39120	1333543
57	39962	1338041
58	40649	1337297
59	41319	1335997
60	42051	1336693
61	42823	1338569
62	43477	1336753
63	44093	1333819
64	44725	1331441
65	45322	1328073
66	46121	1330640
67	46755	1328407
68	47460	1328205
69	48096	1326082
70	48829	1326658
71	49460	1324431
72	50155	1323978
73	50832	1323021
74	51502	1321902
75	52183	1321056
76	52853	1319973
77	53540	1319298
78	54189	1317706
79	54840	1316183
80	55540	1315829
81	56209	1314753
82	56873	1313561
83	57482	1311148
84	58346	1314503
85	59067	1314585
86	59802	1314976
87	60462	1313691
88	61109	1312139
89	61849	1312593
90	62503	1311194
91	63060	1307816
92	63605	1304263
93	64081	1299345
94	64607	1295560
95	65134	1291831
96	65662	1288194
97	66165	1284143
98	66789	1282500
99	67282	1278359
100	67800	1274783
101	68364	1272111
102	68947	1269835
103	69551	1267978
104	70206	1267064
105	70759	1264323
106	71352	1262347
107	71849	1258701
108	72333	1254881
109	72841	1251553
110	73364	1248516
111	73933	1246310
112	74460	1243419
113	75011	1240971
114	75498	1237516
115	76071	1235510
116	76619	1233113
117	77093	1229574
118	77618	1226893
119	78112	1223767
120	78673	1221722
121	79199	1219154
122	79726	1216642
123	80252	1214135
124	80709	1210647
125	81236	1208229
126	81823	1206730
127	82348	1204352
128	82888	1202210
129	83442	1200286
